Ambient PMF
# Col: Volume (A^3), Potential Energy (kJ/mol), Error (kJ/mol)
5.068833700000000135e+02 1.566142300688661635e+03 2.624999999999999729e-03
5.227355910344828089e+02 1.209283938544118882e+03 2.624999999999999729e-03
5.385878120689654907e+02 1.055981656497349150e+03 2.624999999999999729e-03
5.544400331034482861e+02 1.026047193704695474e+03 2.624999999999999729e-03
5.702922541379310815e+02 1.039292289322504303e+03 2.624999999999999729e-03
5.861444751724137632e+02 1.026782127585128592e+03 2.624999999999999729e-03
6.019966962068965586e+02 9.918789477345222849e+02 2.624999999999999729e-03
6.178489172413793540e+02 9.659744168160029858e+02 2.624999999999999729e-03
6.337011382758620357e+02 9.756707131661900121e+02 2.624999999999999729e-03
6.495533593103448311e+02 1.035524393561634042e+03 2.624999999999999729e-03
6.654055803448275128e+02 1.078784804318060878e+03 2.624999999999999729e-03
6.812578013793103082e+02 1.007954261898157711e+03 2.624999999999999729e-03
6.971100224137931036e+02 8.751926499967611335e+02 2.624999999999999729e-03
7.129622434482757853e+02 8.386146111450027547e+02 2.624999999999999729e-03
7.288144644827585807e+02 9.117324977893403002e+02 2.624999999999999729e-03
7.446666855172413761e+02 9.731008140360712559e+02 2.624999999999999729e-03
7.605189065517240579e+02 9.828779431667443305e+02 2.624999999999999729e-03
7.763711275862068533e+02 9.862578633228134777e+02 2.624999999999999729e-03
7.922233486206896487e+02 1.017279395889242096e+03 2.624999999999999729e-03
8.080755696551723304e+02 1.090036836510224930e+03 2.624999999999999729e-03
8.239277906896551258e+02 1.138490892370855136e+03 2.624999999999999729e-03
8.397800117241379212e+02 9.752763773316959259e+02 2.624999999999999729e-03
8.556322327586206029e+02 6.323735875414706697e+02 2.624999999999999729e-03
8.714844537931033983e+02 4.576741385097282659e+02 2.624999999999999729e-03
8.873366748275861937e+02 6.020303540237833886e+02 2.624999999999999729e-03
9.031888958620688754e+02 6.274419479233330321e+02 2.624999999999999729e-03
9.190411168965516708e+02 2.960688958213025899e+02 2.624999999999999729e-03
9.348933379310344662e+02 -1.555384047887133647e+01 2.624999999999999729e-03
9.507455589655171480e+02 1.448281080679274169e+02 2.624999999999999729e-03
9.665977799999999434e+02 1.229469110506819561e+03 2.624999999999999729e-03


  High pressure PMF
# Col: Volume (A^3), Potential Energy (kJ/mol), Error (kJ/mol)
5.068833682092000004e+02 3.120367687498219311e+01 1.306471713551039215e+01
5.328095072986055811e+02 3.060082261571213991e+01 1.735529156023278574e+01
5.587356463880111050e+02 3.239705397206024351e+00 1.417892676183008760e+01
5.846617854774167427e+02 5.318360275507927337e-01 1.009746722455400203e+01
6.105879245668222666e+02 2.067003407136230564e+01 1.014084430815769089e+01
6.365140636562277905e+02 5.438760474508077891e+01 1.585277494475606197e+01
6.624402027456333144e+02 8.313793394188446939e+01 6.206884419714003620e+00
6.883663418350389520e+02 7.386387564656723725e+01 1.029661236873043606e+01
7.142924809244444759e+02 8.115896526058715210e+01 1.207510566292348564e+01
7.402186200138499999e+02 6.418883255657469533e+01 1.739416989310329953e+01
7.661447591032556375e+02 9.094228699678777161e+01 1.320890082898676354e+01
7.920708981926611614e+02 8.023741718028233549e+01 1.306991855200747743e+01
8.179970372820666853e+02 1.108805459702933831e+02 1.299280527072370184e+01
8.439231763714722092e+02 1.118685874087111785e+02 1.263555535992866474e+01
8.698493154608778468e+02 1.184339666040866632e+02 1.895183288066915495e+01
8.957754545502833707e+02 1.054774154781032536e+02 2.119918369169913319e+01
9.217015936396890083e+02 1.767952201544680975e+02 3.605008191878517465e+01
9.476277327290945323e+02 2.834143747701273810e+02 4.144754077479759502e+01
9.735538718185000562e+02 2.735220495001412928e+02 4.358334121884260526e+01
